fiscal_year,mean_YoY_growth,mean_volatility_pct,mean_prorating_gap_ratio,n_months
2020,,0.036392623099196594,0.028282936750692614,12
2021,0.06890900818309051,0.032103215656861646,0.07178067479640797,12
2022,0.07606167211235601,0.02788574512587246,0.16657061544740162,12
2023,0.053244999583270725,0.040079129210731056,0.2228378115874472,12
2024,0.040217452808010666,0.03472348748020892,0.24562126631981726,12
2025,0.019925465887063877,0.03450390540291753,0.2566442959646773,10
