company,ticker,fiscal_year,leverage,equity_ratio,debt_to_equity,net_margin,distress_label,delivery_gwh,delivery_yoy_change,delivery_volatility_3yr
PG&E Corp,PCG,2008,0.7705090553108174,0.2294909446891825,3.35747040631332,0.0924254853705222,0,88127.0,,
PG&E Corp,PCG,2009,0.7593899173361276,0.2406100826638724,3.156101809735798,0.0920964251063512,0,72385.0,-0.1786285701317417,
PG&E Corp,PCG,2010,0.7548723519826182,0.2451276480173818,3.079507179578089,0.0804132649375045,0,79634.0,0.1001450576776956,0.1393868139047187
PG&E Corp,PCG,2011,0.7567638190954774,0.2432361809045226,3.1112304768200976,0.0573682802888472,0,81255.0,0.0203556269934952,0.1172252340660295
PG&E Corp,PCG,2012,0.7507292798718755,0.2492707201281244,3.011702615878844,0.0551861702127659,0,86113.0,0.0597870900252292,0.0325746306856686
PG&E Corp,PCG,2013,0.7420735545364625,0.2579264454635374,2.877074327151025,0.0530837286831645,0,86513.0,0.004645059398697,0.0231955593273826
PG&E Corp,PCG,2014,0.7380877143379846,0.2619122856620154,2.818072136144272,0.0848449385605617,0,86303.0,-0.0024273808560563,0.0278114751293074
PG&E Corp,PCG,2015,0.7382970997331818,0.2617029002668182,2.82112693050193,0.0527535198716806,0,85860.0,-0.0051330776450413,0.0041224611084629
PG&E Corp,PCG,2016,0.738476340418088,0.261523659581912,2.823745819397993,0.0796445148873542,0,83017.0,-0.0331120428604705,0.0138712002683628
PG&E Corp,PCG,2017,0.7174028112685996,0.2825971887314003,2.5386056191467223,0.0968777356288298,0,82226.0,-0.0095281689292554,0.0122852143811901
PG&E Corp,PCG,2018,0.8356906292616404,0.1643093707383596,5.086080151766659,-0.4079599021421325,1,79774.0,-0.029820251501958,0.0104286124308121
PG&E Corp,PCG,2019,0.9397154795999813,0.0602845204000187,15.588006230529595,-0.446143966372818,1,78070.0,-0.0213603429688871,0.0083222527000368
PG&E Corp,PCG,2020,0.7853887344669719,0.2146112655330281,3.659587638683872,-0.0706047972277871,0,,,
PG&E Corp,PCG,2021,0.7970423993728648,0.2029576006271352,3.92713747556149,-0.0042631527952717,0,,,
PG&E Corp,PCG,2022,0.807634604362631,0.1923653956373689,4.198440170003943,0.0836715867158671,0,,,
PG&E Corp,PCG,2023,0.800792375375901,0.199207624624099,4.019888178913738,0.0923530374979531,0,,,
PG&E Corp,PCG,2024,0.7744351339218913,0.2255648660781086,3.433314537795615,0.1028707154265121,0,,,
"GenOn Energy, Inc.",GENON,2008,0.6502647029884648,0.3497352970115352,1.8593053333333331,-0.2179424850467014,0,27115.6,,
"GenOn Energy, Inc.",GENON,2009,0.4233780396300934,0.5766219603699066,0.7342384937238494,0.2207383774678204,0,22488.9,-0.170628715573323,
"GenOn Energy, Inc.",GENON,2010,0.6313997643053555,0.3686002356946445,1.712966252220249,-0.0220264317180616,0,,,
"GenOn Energy, Inc.",GENON,2011,0.5829325943434672,0.4170674056565327,1.3976939613054524,,0,,,
"GenOn Energy, Inc.",GENON,2012,,,,,0,,,
"GenOn Energy, Inc.",GENON,2013,,,,-0.0161290322580645,0,,,
"GenOn Energy, Inc.",GENON,2014,,,,0.062135922330097,0,,,
"GenOn Energy, Inc.",GENON,2015,0.950055086301873,0.049944913698127,19.022058823529413,-0.0485027414592998,0,,,
"GenOn Energy, Inc.",GENON,2016,0.9300411522633744,0.0699588477366255,13.294117647058824,0.0435016111707841,1,,,
"GenOn Energy, Inc.",GENON,2017,0.9829700272479563,0.0170299727520436,57.72,-0.1856513530522341,1,,,
Energy Future Holdings Corp /TX/,EFH,2010,1.1291282228162456,-0.1291282228162455,,-0.3414693381906497,0,109323.0,,
Energy Future Holdings Corp /TX/,EFH,2011,1.1781427955623114,-0.1781427955623114,,-0.2717329545454545,0,113837.0,0.0412904878204952,
Energy Future Holdings Corp /TX/,EFH,2012,1.2690993409812057,-0.2690993409812057,,-0.596167494677076,0,110371.0,-0.0304470427014063,0.0358687652609508
Energy Future Holdings Corp /TX/,EFH,2013,1.3637161828458542,-0.3637161828458541,,-0.3759959315138159,1,113351.0,0.026999845974033,0.031002940269617
Energy Future Holdings Corp /TX/,EFH,2014,1.67433670678337,-0.6743367067833698,,-1.0715958514553363,1,114790.0,0.0126950798846062,0.0244176941594685
Energy Future Holdings Corp /TX/,EFH,2015,2.0741963137591086,-1.0741963137591084,,-0.9947858472998138,0,116751.0,0.017083369631501,0.0059834951029934
"NextEra Energy, Inc.",NEE,2008,0.7393855558778252,0.2606144441221749,2.837085865936136,0.0998781230956733,0,105406.0,,
"NextEra Energy, Inc.",NEE,2009,0.7324074456230137,0.2675925543769862,2.7370247551476825,0.103241066291632,0,105414.0,7.589700776046905e-05,
"NextEra Energy, Inc.",NEE,2010,0.7271200513265653,0.2728799486734347,2.6646151718415045,0.1277665339165632,0,107978.0,0.0243231449333105,0.012123623962775
"NextEra Energy, Inc.",NEE,2011,0.7387039239001189,0.2612960760998811,2.82707622298066,0.1253503682941138,0,106662.0,-0.0121876678582674,0.0151707448945074
"NextEra Energy, Inc.",NEE,2012,0.7506478995639286,0.2493521004360713,3.010393328354493,0.1340488215488215,0,105109.0,-0.014560012000525,0.0177969016047808
"NextEra Energy, Inc.",NEE,2013,0.7397050760395926,0.2602949239604075,2.84179600886918,,0,107643.0,0.0241083066150377,0.0176957767850938
"NextEra Energy, Inc.",NEE,2014,0.7342017109530355,0.2657982890469644,2.7622514561156857,,0,,,
"NextEra Energy, Inc.",NEE,2015,0.7263060900350392,0.2736939099649608,2.653716665190041,,0,,,
"NextEra Energy, Inc.",NEE,2016,0.7295234073761293,0.2704765926238707,2.697177601577585,,0,,,
"NextEra Energy, Inc.",NEE,2017,0.7116542467825856,0.2883457532174144,2.4680587067498583,,0,,,
"NextEra Energy, Inc.",NEE,2018,0.6707488765886868,0.3292511234113132,2.037195407685098,,0,,,
"NextEra Energy, Inc.",NEE,2019,0.6855749377607464,0.3144250622392536,2.180408052965816,,0,,,
"NextEra Energy, Inc.",NEE,2020,0.7140362144043106,0.2859637855956893,2.4969462931010877,,0,,,
"NextEra Energy, Inc.",NEE,2021,0.7359912569546951,0.2640087430453048,2.787753346594269,,0,,,
"NextEra Energy, Inc.",NEE,2022,0.7531758265957782,0.2468241734042218,3.051467026944352,,0,,,
"NextEra Energy, Inc.",NEE,2023,0.7325580740214886,0.2674419259785113,2.739129518833741,,0,,,
"NextEra Energy, Inc.",NEE,2024,0.7365102238303601,0.2634897761696398,2.7952136683898523,,0,,,
The Southern Company,SO,2010,,,,,0,196592.0,,
The Southern Company,SO,2013,0.704220092120005,0.295779907879995,2.380892255892256,,0,183401.0,-0.0670983559860014,
The Southern Company,SO,2016,0.7743055872084014,0.2256944127915987,3.430769852168996,,0,195641.0,0.0667390036041243,0.0669186797950628
The Southern Company,SO,2019,0.7682813816343723,0.2317186183656276,3.315578985638975,,0,196488.0,0.0043293583655777,0.0546802026111306
The Southern Company,SO,2022,0.7745735445656122,0.2254264554343877,3.436036569323862,,0,204273.0,0.0396207401978746,0.0255513549556029
American Electric Power Co Inc,AEP,2010,0.7300168466950748,0.2699831533049251,2.703934811334606,0.0841477784709225,0,205689.0,,
American Electric Power Co Inc,AEP,2013,0.7144049288897569,0.285595071110243,2.501460988498601,0.0999088669119384,0,213675.0,0.0388256056473608,
American Electric Power Co Inc,AEP,2016,0.7258920679337679,0.2741079320662321,2.648197965166408,,0,194141.0,-0.0914192114192114,0.0651224085332861
American Electric Power Co Inc,AEP,2019,0.7413149950653756,0.2586850049346245,2.86570532085044,,0,191670.0,-0.0127278627389371,0.0535555794712189
American Electric Power Co Inc,AEP,2022,0.7441910510656475,0.2558089489343524,2.9091673851356443,,0,192865.0,0.0062346741795794,0.0422797397448738
Entergy Corporation,ETR,2010,0.7803712192721592,0.2196287807278407,3.5531373287510006,0.1088342650499752,0,107510.0,,
Entergy Corporation,ETR,2013,0.778086738545699,0.221913261454301,3.5062651661578665,,0,107781.0,0.0025206957492326,
