country,utility,fiscal_year,leverage,equity_ratio,debt_to_equity,net_margin,working_capital,proba,flag_leverage,flag_equity_ratio,flag_debt_to_equity,flag_net_margin,n_flagged,n_available,unanimous
Cameroon,ENEO Cameroon S.A.,2019,,,,-0.0730555215849333,,0.14048279709963116,,,,True,1,1,False
Cameroon,ENEO Cameroon S.A.,2020,,,,0.0163388352757123,,0.08571172078771819,,,,True,1,1,False
Cameroon,ENEO Cameroon S.A.,2021,0.8678371490352337,0.1321628509647663,6.5664227330159,-0.1037071293852216,-45704976969.0,0.4674085974323615,True,True,True,True,4,4,True
Cameroon,ENEO Cameroon S.A.,2022,0.8646061212627385,0.1353938787372614,6.3858582775411135,0.0281412077574669,-68493575378.0,0.26604868231832574,True,True,True,True,4,4,True
Cameroon,ENEO Cameroon S.A.,2023,,,,0.0179981991132126,,0.08490657935202499,,,,True,1,1,False
Cameroon,ENEO Cameroon S.A.,2024,,,,,,0.05925868086172905,,,,,0,0,False
Kenya,Kenya Power and Lighting Company Plc (KPLC),2021,0.8195503965576196,0.1804496034423803,4.541713480790839,,-56536.0,0.11697924121418364,False,False,False,,0,3,False
Kenya,Kenya Power and Lighting Company Plc (KPLC),2022,0.8288109572546659,0.1711890427453341,4.841495366544164,0.0207368146778262,-66938.0,0.17709682087011286,False,False,False,True,1,4,False
Kenya,Kenya Power and Lighting Company Plc (KPLC),2023,0.8393017174358612,0.1606982825641388,5.222841862674385,-0.0167194658986778,-51233.0,0.23872533235343646,True,True,True,True,4,4,True
Kenya,Kenya Power and Lighting Company Plc (KPLC),2024,0.7561647202068776,0.2438352797931223,3.1011292576219165,0.1301465879787473,-27439.0,0.05101987426322497,False,False,False,False,0,4,False
Kenya,Kenya Power and Lighting Company Plc (KPLC),2025,0.7189613380663635,0.2810386619336364,2.558229295285133,0.111576259206056,-19209.0,0.04485504133863224,False,False,False,False,0,4,False
Ghana,Electricity Company of Ghana Limited (ECG),2018,0.6197544167445384,0.3802455832554616,1.6298793307170822,-0.3837715822611626,-5009902.0,0.38199180771935887,False,False,False,True,1,4,False
Ghana,Electricity Company of Ghana Limited (ECG),2019,0.6871381925983011,0.3128618074016988,2.1962993767278545,-0.348125020339691,-6415069.0,0.40571966629252926,False,False,False,True,1,4,False
Zambia,ZESCO Limited,2023,0.5327161526825664,0.4672838473174335,1.1400268931630408,-1.3959419325931095,-40252666.0,0.9958281051034711,False,False,False,True,1,4,False
Zambia,ZESCO Limited,2024,0.616648981932051,0.3833510180679489,1.6085753079250986,-0.500225797774223,-48667408.0,0.5571901927770123,False,False,False,True,1,4,False
Tanzania,Tanzania Electric Supply Company Limited (TANESCO),2017,0.7847928156499987,0.2152071843500013,3.646685021321845,-0.1874474498238553,-1632487.0,0.3285848686538348,False,False,False,True,1,4,False
Tanzania,Tanzania Electric Supply Company Limited (TANESCO),2018,0.8019779724242245,0.1980217993674979,4.049947909704008,-0.0783454130583579,-1664318.0,0.2264397199181371,False,False,False,True,1,4,False
