model,AUC,Precision,Recall,F1,threshold
Model A (ratios only),0.9794238683127572,0.6666666666666666,0.6666666666666666,0.6666666666666666,
"Model A (same subset, for comparison)",0.5738636363636362,0.0,0.0,0.0,
Model B (ratios + operational),0.5681818181818181,0.5,0.25,0.3333333333333333,
"Model A (same subset, for comparison)",0.5738636363636362,0.2857142857142857,0.5,0.36363636363636365,0.290576104966454
Model B (ratios + operational),0.5681818181818181,0.6666666666666666,0.5,0.5714285714285714,0.4484148554648542
