date,actual,forecast,pct_error,abs_pct_error,t
2023-01-01,187202346.73964,199863214.96141902,-0.06763199523020769,0.06763199523020769,1
2023-02-01,185874139.43611,194188187.91759732,-0.04472945244943608,0.04472945244943608,2
2023-03-01,174434779.96759,172799819.59364247,0.009372903581793188,0.009372903581793188,3
2023-04-01,174947952.58148,179957985.66742575,-0.028637277613251234,0.028637277613251234,4
2023-05-01,177859938.9692,171378480.18642336,0.03644136403250998,0.03644136403250998,5
2023-06-01,178033530.46139,171101860.97858202,0.038934629138926334,0.038934629138926334,6
2023-07-01,170529942.74681002,161794150.89164606,0.051227319463387176,0.051227319463387176,7
2023-08-01,168439173.44019997,161106767.99459836,0.04353147368183207,0.04353147368183207,8
2023-09-01,170704968.82650998,164393414.6643107,0.03697346483577649,0.03697346483577649,9
2023-10-01,171765228.29359,161950209.6060414,0.05714205829117096,0.05714205829117096,10
2023-11-01,171563489.80436,170435656.361212,0.0065738546379193255,0.0065738546379193255,11
2023-12-01,172605621.92813,177850512.30029148,-0.03038655585821741,0.03038655585821741,12
2024-01-01,181207892.72851,195074955.6398777,-0.07652571144979695,0.07652571144979695,13
2024-02-01,186940332.29509,189399928.596056,-0.013157119551298807,0.013157119551298807,14
2024-03-01,168549396.26522002,168011560.27210116,0.003190969561662169,0.003190969561662169,15
2024-04-01,186349086.17195,175169726.34588447,0.05999149261054064,0.05999149261054064,16
2024-05-01,186098773.25158003,166590220.86488205,0.10482902195343916,0.10482902195343916,17
2024-06-01,178573169.96616,166313601.65704072,0.06865291304087001,0.06865291304087001,18
2024-07-01,172222949.56180003,157005891.57010478,0.08835673776586207,0.08835673776586207,19
2024-08-01,167610630.18708,156318508.67305705,0.06737115361608718,0.06737115361608718,20
2024-09-01,166355840.10857928,159605155.34276938,0.04057978825031793,0.04057978825031793,21
2024-10-01,178402671.02158076,157161950.2845001,0.11906055338437868,0.11906055338437868,22
2024-11-01,169445919.86096,165647397.03967068,0.02241731653619181,0.02241731653619181,23
2024-12-01,181409119.712,173062252.97875017,0.04601128513550527,0.04601128513550527,24
2025-01-01,191968927.86772537,190286696.31833643,0.008763040811209162,0.008763040811209162,25
2025-02-01,179823233.27683708,184611669.2745147,-0.02662857246207918,0.02662857246207918,26
2025-03-01,174126893.53010425,163223300.95055985,0.06261865906233093,0.06261865906233093,27
2025-04-01,181338716.7033333,170381467.02434316,0.060424215403023826,0.060424215403023826,28
2025-05-01,178338426.4155073,161801961.54334074,0.09272519223444615,0.09272519223444615,29
2025-06-01,176380912.26311707,161525342.3354994,0.08422436269893423,0.08422436269893423,30
2025-07-01,169673952.41998005,152217632.24856347,0.10288155560971657,0.10288155560971657,31
2025-08-01,167527499.76825017,151530249.35151574,0.09549029525817723,0.09549029525817723,32
2025-09-01,173766454.1112407,154816896.02122808,0.10905187763042935,0.10905187763042935,33
2025-10-01,172331899.66857144,152373690.96295878,0.11581261939313771,0.11581261939313771,34
